round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,num_params,comm_bytes_per_round,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.5303359215295605,,,,3.2448801999998977,,,,14416.0,,,,ok,,
1,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.34264829459648494,,,,5.867160899999817,,,,25584.0,,,,ok,,
1,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.226366201877594,0.9365,0.9344283565822217,,0.3840162000001328,,,,,,,,,
2,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.1220535413206004,,,,3.7438022999999703,,,,14416.0,,,,ok,,
2,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.08873798544247814,,,,6.3374533999999585,,,,25584.0,,,,ok,,
2,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.10296072463691235,0.969,0.968637597968567,,0.41165129999990313,,,,,,,,,
3,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.07767217187908634,,,,3.33994550000034,,,,14416.0,,,,ok,,
3,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.05347126732237306,,,,5.884360500000184,,,,25584.0,,,,ok,,
3,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.08534016288816929,0.9695,0.9692636876108235,,0.36697099999992133,,,,,,,,,
4,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.05898176823390212,,,,3.4687505999995665,,,,14416.0,,,,ok,,
4,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.03686903020410127,,,,5.458944399999837,,,,25584.0,,,,ok,,
4,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.0809757270514965,0.975,0.9747058099500376,,0.370111100000031,,,,,,,,,
5,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.046859461007914716,,,,3.491975399999774,,,,14416.0,,,,ok,,
5,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.027071179782626936,,,,6.2684706999998525,,,,25584.0,,,,ok,,
5,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07227991434931755,0.976,0.9757759052192579,,0.3691604999999072,,,,,,,,,
6,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.03881494202583896,,,,3.7372097999996186,,,,14416.0,,,,ok,,
6,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.020096010882774365,,,,5.990395900000294,,,,25584.0,,,,ok,,
6,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07003011846542359,0.977,0.9768194169982174,,0.40370949999987715,,,,,,,,,
7,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.03162319259214154,,,,3.3116251999999804,,,,14416.0,,,,ok,,
7,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.015310712160026857,,,,6.032692199999929,,,,25584.0,,,,ok,,
7,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07260647066310048,0.975,0.9747384036567261,,0.3689657999998417,,,,,,,,,
8,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.025402107529396957,,,,3.4405354000000443,,,,14416.0,,,,ok,,
8,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.012143783384124184,,,,5.869749599999977,,,,25584.0,,,,ok,,
8,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07520522446930408,0.974,0.9737064885834575,,0.37643100000013874,,,,,,,,,
9,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.02145768258036874,,,,3.466559700000289,,,,14416.0,,,,ok,,
9,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.009862335864454508,,,,5.7610750999997435,,,,25584.0,,,,ok,,
9,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07265351139381528,0.9745,0.9742633435128468,,0.38399749999962296,,,,,,,,,
10,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.017571119853302106,,,,3.4590461000002506,,,,14416.0,,,,ok,,
10,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.00785114967309083,,,,5.869076200000109,,,,25584.0,,,,ok,,
10,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.0742962272875011,0.973,0.9726900150188819,,0.3822141000000556,,,,,,,,,
11,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.015752498782246313,,,,3.2159662999997636,,,,14416.0,,,,ok,,
11,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.006621802588678684,,,,5.678883499999756,,,,25584.0,,,,ok,,
11,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.07279022700339556,0.9725,0.9721712019313454,,0.35744860000022527,,,,,,,,,
12,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.013415501223252746,,,,3.3261247999998886,,,,14416.0,,,,ok,,
12,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.005706794845078488,,,,5.6499031000003015,,,,25584.0,,,,ok,,
12,eval,mnist,tinycnn_mnist,dirichlet,64,4,server,,0.0738294542171061,0.972,0.9716800151355145,,0.39043119999996634,,,,,,,,,
13,train,mnist,tinycnn_mnist,dirichlet,64,4,client0,0.011367868062663827,,,,3.2755738000000747,,,,14416.0,,,,ok,,
13,train,mnist,tinycnn_mnist,dirichlet,64,4,client1,0.004896420614718617,,,,5.695052900000064,,,,25584.0,,,,ok,,
