round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,16,4,client0,0.3141816895576052,,,,9.607457499951124,,,,20008.0,666.23046875,ok,,
1,train,mnist,tinycnn_mnist,iid,16,4,client1,0.36032149395207597,,,,9.714769200072624,,,,19992.0,665.8203125,ok,,
1,eval,mnist,tinycnn_mnist,iid,16,4,server,,0.6047363467216492,0.889,0.8910988688224455,,0.29442339995875955,,,,,,,
2,train,mnist,tinycnn_mnist,iid,16,4,client0,0.11924051249386322,,,,9.529352399986237,,,,20008.0,672.33203125,ok,,
2,train,mnist,tinycnn_mnist,iid,16,4,client1,0.13474423088339246,,,,9.626240300014615,,,,19992.0,669.48046875,ok,,
2,eval,mnist,tinycnn_mnist,iid,16,4,server,,0.12197848953981884,0.953,0.9506567017553351,,0.3077045000391081,,,,,,,
3,train,mnist,tinycnn_mnist,iid,16,4,client0,0.0655839261238434,,,,9.570322400075383,,,,20008.0,674.16015625,ok,,
3,train,mnist,tinycnn_mnist,iid,16,4,client1,0.07922010456069516,,,,9.705680699902587,,,,19992.0,670.79296875,ok,,
3,eval,mnist,tinycnn_mnist,iid,16,4,server,,0.10613995847145634,0.968,0.9664457714326575,,0.28077999991364777,,,,,,,
4,train,mnist,tinycnn_mnist,iid,16,4,client0,0.04377005660810501,,,,9.602337699965574,,,,20008.0,675.328125,ok,,
4,train,mnist,tinycnn_mnist,iid,16,4,client1,0.059315464258931375,,,,9.564311900059693,,,,19992.0,672.109375,ok,,
4,eval,mnist,tinycnn_mnist,iid,16,4,server,,0.10967099703487838,0.967,0.966153559405171,,0.28608460002578795,,,,,,,
5,train,mnist,tinycnn_mnist,iid,16,4,client0,0.03925604164387749,,,,9.736498499987647,,,,20008.0,677.09375,ok,,
5,train,mnist,tinycnn_mnist,iid,16,4,client1,0.03841948879442352,,,,9.758449700078927,,,,19992.0,673.72265625,ok,,
5,eval,mnist,tinycnn_mnist,iid,16,4,server,,0.14273159880554612,0.966,0.9654386272885545,,0.33698269992601126,,,,,,,
6,train,mnist,tinycnn_mnist,iid,16,4,client0,0.047488281049922414,,,,9.578869099961594,,,,20008.0,678.48828125,ok,,
