round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,cifar10,squeezenet_cifar,iid,32,5,pc-cpu,2.3045274621146614,,,,29.15384929999709,,2932577,2932482,4985,953.80859375,ok,,
1,train,cifar10,squeezenet_cifar,iid,32,5,pi99,2.3045258813936,,,,1032.1247201869992,,2932577,2932199,5015,1064.04296875,ok,temp=51.6'C,throttled=0x0
1,eval,cifar10,squeezenet_cifar,iid,32,5,server,,2.3013272800445557,0.098,0.021030693444486548,,0.7237810999940848,5865154,5864681,,,,,
2,train,cifar10,squeezenet_cifar,iid,32,5,pc-cpu,2.2899812449662833,,,,31.198578700001235,,5865154,5864869,4985,684.5078125,ok,,
2,train,cifar10,squeezenet_cifar,iid,32,5,pi99,2.297073638855163,,,,1031.9969821659997,,5865154,5864307,5015,1073.26953125,ok,temp=52.1'C,throttled=0x0
2,eval,cifar10,squeezenet_cifar,iid,32,5,server,,2.3013899974822998,0.116,0.024251191846128554,,0.3332053999911295,11730308,11729176,,,,,
3,train,cifar10,squeezenet_cifar,iid,32,5,pc-cpu,2.2077436217094735,,,,28.911072999995667,,8797731,8797257,4985,555.09765625,ok,,
3,train,cifar10,squeezenet_cifar,iid,32,5,pi99,2.2270866577551587,,,,1032.4499148129999,,8797731,8796416,5015,1065.27734375,ok,temp=53.0'C,throttled=0x0
3,eval,cifar10,squeezenet_cifar,iid,32,5,server,,2.10891436958313,0.256,0.15880275870887078,,0.41512560000410303,17595462,17593673,,,,,
4,train,cifar10,squeezenet_cifar,iid,32,5,pc-cpu,2.060049268618271,,,,30.03812340000877,,11730308,11729643,4985,475.23828125,ok,,
4,train,cifar10,squeezenet_cifar,iid,32,5,pi99,2.0284334445879204,,,,1032.0520115660001,,11730308,11728525,5015,1061.28515625,ok,temp=53.5'C,throttled=0x0
4,eval,cifar10,squeezenet_cifar,iid,32,5,server,,1.946455948829651,0.212,0.13606183685520062,,0.2738087000034284,23460616,23458168,,,,,
5,train,cifar10,squeezenet_cifar,iid,32,5,pc-cpu,1.9474101794758436,,,,29.206061299992143,,14662885,14662031,4985,495.80078125,ok,,
5,train,cifar10,squeezenet_cifar,iid,32,5,pi99,1.8941620083416209,,,,1031.721009334,,14662885,14660628,5015,1069.296875,ok,temp=53.0'C,throttled=0x0
5,eval,cifar10,squeezenet_cifar,iid,32,5,server,,1.8878898296356201,0.278,0.18251239577417105,,0.330837600005907,29325770,29322659,,,,,
