round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,status,pi_temp,pi_throttled
1,train,cifar10,dscnn_cifar,iid,16,1,pi0,1.913247805082057,,,,84.84385829200005,,106546,106530,5003,ok,temp=83.7'C,throttled=0xe0008
1,train,cifar10,dscnn_cifar,iid,16,1,pi1,1.922325929880667,,,,84.54630249699994,,106546,107051,4997,ok,temp=75.9'C,throttled=0x0
1,eval,cifar10,dscnn_cifar,iid,16,1,server,,2.5714125757217405,0.163,0.0671107448761388,,0.7546194000024116,213092,213581,,,,
2,train,cifar10,dscnn_cifar,iid,16,1,pi0,1.6619122327386726,,,,92.88166565100005,,213092,212969,5003,ok,temp=84.2'C,throttled=0xe0008
2,train,cifar10,dscnn_cifar,iid,16,1,pi1,1.6340026005711916,,,,83.35083394399999,,213092,214011,4997,ok,temp=80.3'C,throttled=0x0
2,eval,cifar10,dscnn_cifar,iid,16,1,server,,2.2857901639938354,0.256,0.21470500937564313,,2.882655800000066,426184,426980,,,,
3,train,cifar10,dscnn_cifar,iid,16,1,pi0,1.4585455515230747,,,,100.80105614799982,,319638,319409,5003,ok,temp=84.7'C,throttled=0xe0008
3,train,cifar10,dscnn_cifar,iid,16,1,pi1,1.4436882376933255,,,,83.21525549100011,,319638,320975,4997,ok,temp=82.3'C,throttled=0x80000
3,eval,cifar10,dscnn_cifar,iid,16,1,server,,1.2672100267410278,0.535,0.5316025834609983,,0.6684648000009474,639276,640384,,,,
4,train,cifar10,dscnn_cifar,iid,16,1,pi0,1.3534167363551672,,,,105.683761452,,426184,425844,5003,ok,temp=83.2'C,throttled=0xe0008
4,train,cifar10,dscnn_cifar,iid,16,1,pi1,1.351605973578654,,,,83.22188242700031,,426184,427938,4997,ok,temp=81.3'C,throttled=0x80000
4,eval,cifar10,dscnn_cifar,iid,16,1,server,,1.460705099105835,0.453,0.4112345958869453,,0.6797391000000061,852368,853782,,,,
5,train,cifar10,dscnn_cifar,iid,16,1,pi0,1.2516003746331608,,,,107.06271150399971,,532730,532284,5003,ok,temp=84.7'C,throttled=0xe0006
5,train,cifar10,dscnn_cifar,iid,16,1,pi1,1.2378369721742255,,,,82.63005613999985,,532730,534902,4997,ok,temp=81.8'C,throttled=0x80008
5,eval,cifar10,dscnn_cifar,iid,16,1,server,,1.1619042921066285,0.587,0.569887930091899,,16.047744300005434,1065460,1067186,,,,
6,train,cifar10,dscnn_cifar,iid,16,1,pi0,1.210971727029052,,,,105.84285262399999,,639276,638723,5003,ok,temp=85.2'C,throttled=0xe0006
6,train,cifar10,dscnn_cifar,iid,16,1,pi1,1.2054726357027747,,,,83.12056608800003,,639276,641866,4997,ok,temp=82.7'C,throttled=0x80008
