round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.9807329474530574,,,,43.80636104899895,,429824,429809,4998,ok,temp=68.1'C,throttled=0x50005
1,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.6411890240206641,,,,30.486040573000025,,429824,430143,5002,ok,temp=58.9'C,throttled=0x50005
1,eval,mnist,tinycnn_mnist,iid,16,1,server,,1.044199122428894,0.702,0.6945188091356547,,0.3747189999994589,859648,859952,,,,
2,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.28996311013522347,,,,46.73988677300076,,859648,859527,4998,ok,temp=68.6'C,throttled=0x50005
2,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.30138669829697956,,,,30.105517008999982,,859648,860195,5002,ok,temp=59.4'C,throttled=0x50005
2,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.16445656590163707,0.945,0.9445160385370676,,0.2723454999977548,1719296,1719722,,,,
3,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.18172277106402054,,,,43.07964427600018,,1289472,1289245,4998,ok,temp=68.6'C,throttled=0x50005
3,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.20323321795653698,,,,29.85891741399996,,1289472,1290246,5002,ok,temp=59.9'C,throttled=0x50005
3,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.1555373062901199,0.951,0.9502910181174631,,0.2761629000015091,2578944,2579491,,,,
4,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.18547382500867138,,,,42.98767948800014,,1719296,1718963,4998,ok,temp=70.6'C,throttled=0x50005
4,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.147495020839681,,,,30.024096501999907,,1719296,1720296,5002,ok,temp=59.9'C,throttled=0x50005
4,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.13494241838157178,0.957,0.9555623435579088,,0.30863030000182334,3438592,3439259,,,,
5,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.12852573121923777,,,,42.904323920000024,,2149120,2148682,4998,ok,temp=69.6'C,throttled=0x50005
5,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.1235281945478202,,,,29.72780392800007,,2149120,2150346,5002,ok,temp=60.3'C,throttled=0x50005
5,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.1350818984201178,0.959,0.9577462752360215,,0.30249990000083926,4298240,4299028,,,,
6,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.12749920900156048,,,,44.06646369400005,,2578944,2578400,4998,ok,temp=70.1'C,throttled=0x50000
6,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.0861719204451986,,,,33.43935916300006,,2578944,2580396,5002,ok,temp=61.3'C,throttled=0x50005
6,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.1349981727320701,0.962,0.9610211390839376,,0.305814499999542,5157888,5158796,,,,
7,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.09676079232632387,,,,45.021306136999556,,3008768,3008119,4998,ok,temp=70.1'C,throttled=0x50005
7,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.09315613010526091,,,,30.23127311999997,,3008768,3010447,5002,ok,temp=62.8'C,throttled=0x50005
7,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.11816165347828064,0.961,0.9598338579668114,,1.9534892000010586,6017536,6018566,,,,
8,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.10605678107101414,,,,43.56340852100038,,3438592,3437837,4998,ok,temp=70.1'C,throttled=0x50005
8,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.08540884696376758,,,,33.55216004600004,,3438592,3440498,5002,ok,temp=62.3'C,throttled=0x50005
8,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.10174532480444759,0.966,0.9656419433790482,,2.168659099999786,6877184,6878335,,,,
9,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.0800111629152704,,,,49.48123038900121,,3868416,3867554,4998,ok,temp=70.1'C,throttled=0x50005
9,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.058333023213122885,,,,39.47928338899999,,3868416,3870550,5002,ok,temp=62.8'C,throttled=0x50005
9,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.10444360820035217,0.97,0.969278388171519,,1.9324274999999034,7736832,7738104,,,,
10,train,mnist,tinycnn_mnist,iid,16,1,pi1,0.08719873370929153,,,,47.380777351998404,,4298241,4297274,4998,ok,temp=71.1'C,throttled=0x50005
10,train,mnist,tinycnn_mnist,iid,16,1,pi0,0.061315208736216306,,,,31.522408438999946,,4298241,4300604,5002,ok,temp=63.7'C,throttled=0x50005
10,eval,mnist,tinycnn_mnist,iid,16,1,server,,0.08899465195345692,0.976,0.9758136656256694,,1.7475473000013153,8596482,8597878,,,,
