round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.789320109155029,,,,23.683010964000005,,429834,430138,7000,ok,temp=68.6'C,throttled=0x0
1,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,1.006665467162927,,,,11.182390606000126,,429834,429809,3000,ok,temp=79.3'C,throttled=0xe0000
1,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.7331135883331299,0.865,0.8648494463892202,,0.3348736000007193,859668,859947,,,,
2,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.2614222005148019,,,,23.740112876000012,,859668,860185,7000,ok,temp=72.0'C,throttled=0x0
2,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.30703250169257323,,,,11.479216878999978,,859668,859528,3000,ok,temp=80.3'C,throttled=0xe0000
2,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.1511235024034977,0.958,0.9568460101786422,,0.34727820000262,1719336,1719713,,,,
3,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.17925491121078707,,,,23.580427106000116,,1289502,1290233,7000,ok,temp=72.0'C,throttled=0x0
3,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.18704645626743635,,,,11.183290679000038,,1289502,1289247,3000,ok,temp=80.8'C,throttled=0xe0000
3,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.19225514109246433,0.934,0.9336300594637663,,0.3379248000019288,2579004,2579480,,,,
4,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.14430744933706177,,,,23.593341230000078,,1719336,1720281,7000,ok,temp=74.0'C,throttled=0x0
4,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.1582971321946631,,,,11.07290649100014,,1719336,1718964,3000,ok,temp=81.3'C,throttled=0xe0000
4,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.1019722038442269,0.965,0.963859607120417,,1.8542089999973541,3438672,3439245,,,,
5,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.09764316172126149,,,,23.66404157299985,,2149170,2150328,7000,ok,temp=72.5'C,throttled=0x0
5,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.11862155799629788,,,,11.378228327999977,,2149170,2148683,3000,ok,temp=81.3'C,throttled=0xe0000
5,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.09389343091472983,0.969,0.9676610373044513,,0.2797142999988864,4298340,4299011,,,,
6,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.09900391099364164,,,,23.61909188100003,,2579004,2580375,7000,ok,temp=75.4'C,throttled=0x0
6,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.10379229872840612,,,,11.166716367000163,,2579004,2578402,3000,ok,temp=80.8'C,throttled=0xe0000
6,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.11602629767009057,0.971,0.9705598143419326,,2.4274645000004966,5158008,5158777,,,,
7,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.08494429450748223,,,,23.531190310000056,,3008838,3010423,7000,ok,temp=75.4'C,throttled=0x0
7,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.10311768569296692,,,,11.307886510999879,,3008838,3008121,3000,ok,temp=80.3'C,throttled=0xe0000
7,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.10716953233457753,0.972,0.9712873970584759,,2.656109600000491,6017676,6018544,,,,
8,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.07991881286258494,,,,23.560761292000052,,3438672,3440471,7000,ok,temp=76.4'C,throttled=0x0
8,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.08398210399600793,,,,11.206050713999957,,3438672,3437840,3000,ok,temp=80.8'C,throttled=0xe0000
8,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.10666662085196003,0.967,0.9669190007257192,,0.2893746000008832,6877344,6878311,,,,
9,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.06085051269358831,,,,23.68178914500004,,3868506,3870518,7000,ok,temp=76.4'C,throttled=0x0
9,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.08254444575562957,,,,11.146256838,,3868506,3867553,3000,ok,temp=81.3'C,throttled=0xe0000
9,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.0799807695626514,0.974,0.9737857822046478,,0.2951518000008946,7737012,7738071,,,,
10,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi0,0.06014783389158453,,,,23.57639247399993,,4298341,4300566,7000,ok,temp=77.4'C,throttled=0x0
10,train,mnist,tinycnn_mnist,quantity_skew,16,1,pi1,0.08814351986455343,,,,11.025715483000113,,4298341,4297273,3000,ok,temp=80.8'C,throttled=0xe0000
10,eval,mnist,tinycnn_mnist,quantity_skew,16,1,server,,0.11367081502638757,0.965,0.9640324295478608,,0.3339549000011175,8596682,8597839,,,,
